pos_2022,pos_2021,city,country,remote_jobs,overworked_population,minimum_vacations_offered,vacations_taken,unemployment,multiple_jobholders,inflation,paid_parental_leave,covid_impact,covid_support,healthcare,access_to_mental_healthcare,inclusivity_and_tolerance,affordability,happiness_culture_and_leisure,city_safety,outdoor_spaces,air_quality,wellness_and_fitness,total_score
42,22,Madrid,Spain,31.69,13.30,22,30,82.6,2.20,7.11,126.7,70.1,71.2,97.9,64.2,97.5,66.3,81.4,74.1,84.2,94.4,72.9,86.85
43,0,Omaha,USA,38.90,12.20,10,8.9,97.3,7.70,9.22,0,87.1,85.6,89.5,66.4,87.8,75.1,82.9,60.6,85.7,97.3,59.8,86.01
44,34,San Diego,USA,39.52,12.50,10,8.3,94.5,4.00,9.14,117,83,92.6,88.6,66.6,93,80.7,86.5,66.2,91.5,94.2,62.5,85.77
45,18,Singapore,Singapore,52.06,16.90,7,12,98.2,2.70,4.49,119,87.9,95.1,93.6,62.1,69,65.9,77.6,100,74.1,90,72.9,85.66
46,28,Denver,USA,42.58,12.40,10,8.7,95.6,5.60,7.71,0,84.1,86.2,88.1,66.7,92,83.2,83.3,60,86.3,95.8,65.7,85.63
47,0,Virginia Beach,USA,34.64,11.70,10,9.1,95.8,5.20,9.39,0,85,84.4,87.9,67.1,89.9,85.8,82.4,60.3,85.8,97.1,60.2,85.3
48,0,Raleigh,USA,41.30,12.50,10,9.1,96.7,5.00,9.39,0,85.2,84.3,88.7,67.5,85.5,91.8,85,65.9,83.2,95.4,61.4,85.29
49,0,Sacramento,USA,40.34,12.20,10,8.3,93.9,4.00,8.27,117,77.5,93.1,88,66.6,93,70.4,83,58.8,87.7,98.3,62,84.94
50,25,Barcelona,Spain,31.69,13.10,22,30,82.5,2.20,7.11,126.7,69.5,71.2,97,64.2,97.5,65.3,79.8,68.5,83.3,92.5,69.6,84.93
51,0,Lisbon,Portugal,33.16,14.70,22,0,89.3,4.00,4.17,366.8,74.2,71.7,89.5,76.6,94.8,58.4,70.7,72.8,86.6,96.6,65.2,84.88
52,0,Des Moines,USA,42.66,13.40,10,8.9,95.9,8.60,9.22,0,82.3,89,91.2,66.3,89.9,77.5,83.9,59.7,86.1,96.8,59.3,84.77
53,0,Honolulu,USA,35.43,11.80,10,8.5,95.8,5.70,8.27,30,74,85.7,89.1,68.1,93.5,58.7,85,57.1,92.3,98,61.4,84.62
54,32,Budapest,Hungary,30.92,14.40,20,24.1,97.5,1.20,11.21,1127,74.8,81.1,68.5,68.1,74.6,64.1,64.7,72,82.1,92.7,62.5,84.56
55,0,Colorado Springs,USA,40.31,11.90,10,8.7,95.3,5.60,9.81,0,81.1,85.8,85,65.7,91.4,86.2,82.5,62.4,80.8,96.9,66.2,84.56
56,0,Tampa,USA,39.94,12.50,10,9.1,96.4,3.50,11.75,0,79.8,80.7,87.2,67.2,88.8,71.4,81.2,60.8,82.3,97.9,61.8,84.31
57,0,Kansas City,USA,39.48,11.70,10,8.8,96.3,5.80,9.22,0,83.2,83.5,88.9,67,85,82.6,76.1,39.8,96.7,97.2,58.6,84.27
58,0,Charlotte,USA,37.87,12.50,10,9.1,95.6,5.00,9.39,0,83.1,84.4,88.2,66.6,86.6,90.3,82.4,60.1,86.5,95.7,60.9,84.24
59,38,New York,USA,41.96,11.90,10,11.4,93.3,4.10,6.11,180,66.3,90.9,85.5,68.1,94.4,61.8,91.5,62.4,90.7,96.5,64.8,84.23
